map,length,fights_won,fights_lost,followers_killed,buildings_destroyed,shamans_killed,followers_lost,buildings_lost,shaman_deaths,value,good
16,481,0,0,0,0,0,0,0,0,0.533333333333,True
20,1513,75,17,76,16,0,20,0,3,0.466666666667,False
20,1502,31,8,19,0,0,93,10,4,0.466666666667,False
390,488,2,0,36,0,0,0,0,1,0.4,False
390,466,4,2,0,0,0,36,0,1,0.4,False
29,652,3,4,1,0,0,41,4,4,0.6,True
29,655,6,1,39,4,0,1,0,3,0.6,True
20,1623,102,7,100,10,0,30,0,1,0.533333333333,True
20,0,0,0,0,0,0,0,0,0,0.533333333333,True
902,855,0,0,11,0,0,0,0,5,0.533333333333,True
902,842,0,0,0,0,0,22,0,11,0.533333333333,True
902,530,1,0,0,0,0,22,0,11,0.6,True
902,523,0,0,21,0,0,0,0,4,0.6,True
16,1185,64,52,30,2,0,142,31,9,0.533333333333,True
16,1167,92,10,141,38,0,36,0,7,0.533333333333,True
16,1175,17,21,33,3,0,95,17,12,0.533333333333,True
16,1187,44,9,93,22,0,35,0,2,0.533333333333,True
16,0,0,0,0,0,0,0,0,0,0.666666666667,True
16,1209,6,13,41,6,0,33,2,5,0.666666666667,True
20,938,13,1,95,3,0,17,6,2,0.466666666667,False
20,944,24,3,29,6,0,108,3,4,0.466666666667,False
19,1678,0,0,0,0,0,0,0,0,0.4,False
19,1673,36,8,110,10,0,50,0,8,0.4,False
20,4785,207,234,374,9,0,300,1,4,0.4,False
20,0,0,0,0,0,0,0,0,0,0.4,False
29,711,4,1,60,3,0,6,0,1,0.6,True
29,691,6,2,5,0,0,61,0,7,0.6,True
19,1220,35,15,24,1,0,57,8,7,0.533333333333,True
19,1210,30,11,57,6,0,24,0,5,0.533333333333,True
29,780,7,4,67,2,0,9,0,2,0.466666666667,False
29,788,14,6,9,0,0,67,0,6,0.466666666667,False
29,2146,44,34,125,7,0,179,8,6,0.533333333333,True
29,2134,70,23,178,18,0,129,3,12,0.533333333333,True
18,2589,47,81,99,0,0,164,27,12,0.533333333333,True
18,2659,63,48,161,31,0,120,0,6,0.533333333333,True
19,1682,3,3,44,3,0,21,1,8,0.466666666667,False
19,0,0,0,0,0,0,0,0,0,0.466666666667,False
902,499,27,2,39,3,0,4,1,2,0.466666666667,False
902,0,0,0,0,0,0,0,0,0,0.466666666667,False
370,513,0,0,0,0,0,10,0,1,0.533333333333,True
370,532,0,0,0,0,0,0,0,0,0.533333333333,True
902,582,1,0,6,0,0,3,0,1,0.4,False
902,570,0,1,3,0,0,6,0,4,0.4,False
17,740,6,0,35,0,0,1,0,0,0.533333333333,True
17,769,1,2,1,0,0,35,0,3,0.533333333333,True
902,0,0,0,0,0,0,0,0,0,0.6,True
902,710,16,6,31,4,0,11,0,4,0.6,True
19,0,0,0,0,0,0,0,0,0,0.6,True
19,1768,12,15,63,2,0,34,4,6,0.6,True
20,1237,0,0,118,7,0,164,1,3,0.4,False
20,1242,54,2,2,0,0,88,4,2,0.4,False
19,841,15,7,15,0,0,17,0,1,0.466666666667,False
